字	câu	wskazowka	mot	phrase	indication	word	sentence	słowo	zdanie	palabra	frases
你	你好										
我											
饿											
好											
不											
累											
走											
马	你好吗?										
第	第二课										
二											
课											
一											
三											
四											
五											
六											
七											
八											
九											
十											
汤	要不要汤？										
要											
想家	他出国以后一点也不想家。										
什么？											
父亲	父亲，我是孝子，不会让您死的。										
孝子											
他											
是											
谁											
哦											
认识											
过											
见											
它											
这儿											
书	我想买书。										
报	这儿有报吗？										
课											
也											
邮局	邮局在街那头。										
对不起											
书店											
老师											
帅	你看见那帅哥了吗？										
王											
去											
吃											
俄											
太											
面											
来	这儿，你来过吗？										
行不行											
安静											
房子	上海的房子比广州更贵。										
住											
爱											
对	对不对										
冷											
出去											
哪	你去哪儿？										
新											
她											
朋友											
知道	我不知道。										
孩子											
当然											
中国											
英国											
德国											
几	他们有机个孩子？										
哥哥											
书包											
妹妹											
颜色											
漂亮											
喜欢											
贵											
巴											
小											
就											
可是											
大											
翻译											
语											
会											
作											
工作											
说											
写											
点											
文											
呢	你呢?										
车											
元											
明天											
没有											
开车											
自行车											
票											
时间											
半											
还											
那											
多											
钱											
块	一个包子五块。										
快	我呆了快一年了										
慢											
吃饭											
等	等一下										
下											
上											
下雨											
很想											
公司											
公园											
意思											
事	明天我们没有事儿。										
待	他想呆一夜。										
姐姐											
什么时候？											
清楚	坐在最后一排，看得清楚看不清楚？										
请											
病											
看											
告诉											
您											
贵姓											
舒服											
叫											
名字											
发音											
一定											
爸爸											
妈妈											
怕											
路											
次											
可能											
今天											
男	男朋友										
女											
现在											
岁	你几岁了？										
你们											
真的											
忘											
算了											
问											
两											
本											
热情											
以前											
学											
欢迎											
化学											
极	好极了										
练习	请重那个练习。	我需要每天练习。									
抽烟											
奇怪	真奇怪！	多么奇怪的主意！									
谢谢											
用											
做											
筷子											
才	我昨天才来呢。										
礼拜天											
城市	你要不要跟我们一起进城市去？										
进											
跟	跟我进房间。										
南	南京										
商店	哪儿有很多商店。										
很多											
各种各样	各种各样的商店都有！										
接	明天我来接你。										
饭馆											
到	我到哪儿去看看。										
关系	没关系。										
北	北京										
大概	大概要二小时。										
公共											
先	你先上公共汽车。										
汽车											
坐	坐三站。										
以后	以后呢										
再	再见										
反正											
火车	我喜欢坐火车。										
谈	我们非常谈谈。										
决定	我决定了。										
帮助	他常常帮助别人。										
出生	我一九八九年七月二十九号出生。										
年											
月											
号											
红	红茶										
昨天											
和											
但是											
考试											
难											
全	全世界										
世界	第二次世界大战。										
满分											
留学											
为	为什么？										
听	听说										
苹果											
教											
法国											
肯定	他晚上肯定会来。										
百											
千											
已经											
人家											
明白	明白不明白？										
高											
兴											
太阳	金色的太阳										
散步	我们出去散步怎么样？										
天气											
身体	人的身体										
双											
手	我用手写字。										
脚	我用脚走路										
眼睛	我用眼睛看。										
嘴	我用嘴吃。										
耳朵	我用耳朵听。										
开门											
客人											
手表											
差	七点差五分。										
刻	五点一刻。										
大使馆											
历史											
牛											
牛奶	我不喜欢糖也不喜欢牛奶。										
早上											
同学											
准备	我的父母准备买一个新的家。										
错	这个汽车很不错。	这不是我的过错。									
旅馆											
旅行											
银行	中国银行										
水											
自己	你自己去看巴。										
路											
好像	他好像累了。										
喝	你想喝水吗?										
渴	我渴。										
茶	我喝茶。										
最近	你最近忙不忙。										
下班	他还没下班儿。										
恨											
丈夫	我很恨的丈夫。										
音乐											
要是/的话	要是你喜欢汉语的说，你该听中国音乐。										
独自											
啤酒											
酒	喝酒以后别开车。										
打牌											
牌											
妹妹											
应该	你应该告诉我。										
地方											
打算	我打算明月到波兰去。										
波兰											
生意	他的爷爷现在在做什么生意了？										
工厂											
觉得	我觉得开工厂。										
东西											
上海											
回家	我一回家，就写作业。	我回家的时候，就写作业。									
买	买卖										
卖											
四川											
美国											
省	北京不再四川省。										
说话											
电话											
号码											
重庆											
开始											
考试											
学期											
星期											
现代											
语法											
先生											
经常											
日本											
天天	他天天教留学生现代汉语。										
中学	我和他是中学同学。										
玩儿	他会学习，他会玩儿。										
金											
将学金											
笑											
成功	我预祝你成功。										
预祝											
平安	祝你一路平安。										
时候	我小的时候。										
哭	我说 “再见” 的时候她哭了。										
比较	说话还可以，写字比较难。										
容易	容易受伤的女人	用这个APP来写汉字更容易。									
一样	广东话和北京话的写法儿一样吗？										
汉字											
复习											
欢迎											
懂											
休息											
马											
信	他在家里写信。										
正在	我正在开车。										
另											
老板											
放假	我们今天放假天。										
问题	老问题。/好问题。										
同意	我不知道他同意不同意。										
讲	讲越南话的人多不多？										
越南	我的爸爸是越南人。										
医院											
复杂	这个问题很复杂。										
西藏											
内蒙											
方言											
广州											
广东											
南											
西											
东											
比方说	有人学英文，可是还说得不好，比方你巴。										
大夫											
飞机											
教授	这是位李教授。										
介绍											
原谅	请原谅。	虽然你请我喝咖啡，那我原谅你把。									
迟到	我原谅你迟到。										
李											
见得	虽然他考的很好，他口语的汉语不见得比你的好。	不见得！									
机场	这机场很真大。										
熟悉											
情况	你对波兰的情况很熟悉吗。										
带	他带我们去旅馆。	带她进来。									
喂	我每天喂两次她的够。										
打	打电话										
好久	好久不见了。										
空	后天我有空。										
便饭											
饺子											
包											
唱歌	我爱唱歌。										
翻唱											
青春	再见青春！										
护照	请出示你们的护照。										
绿	绿茶										
乐	生日快乐！										
可口可乐											
鸟											
岛											
